date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2022-01-11,SELL_PUT,P,451.0,2022-02-11,479.606502,117401.050403,0.0,4.802565,0.65,2022-01-10,4.812565,5.319151,
2022-02-11,PUT_ASSIGNED,P,451.0,2022-02-11,-45100.0,72301.050403,100.0,,,,,,
2022-02-14,SIGNAL,C,465.0,2022-03-18,0.0,72301.050403,100.0,,,,,,
2022-02-15,SELL_CALL,C,465.0,2022-03-18,977.536639,73278.587042,100.0,9.781866,0.65,2022-02-14,9.791866,10.822589,
2022-03-18,DIVIDEND,,,,136.6,73415.187042,100.0,,,,,,
2022-03-18,EXPIRED,C,465.0,2022-03-18,0.0,73415.187042,100.0,,,,,,
2022-03-21,SIGNAL,C,467.0,2022-04-22,0.0,73415.187042,100.0,,,,,,
2022-03-22,SELL_CALL,C,467.0,2022-04-22,768.752291,74183.939334,100.0,7.694023,0.65,2022-03-21,7.704023,8.514973,
2022-04-22,EXPIRED,C,467.0,2022-04-22,0.0,74183.939334,100.0,,,,,,
2022-04-25,SIGNAL,C,455.0,2022-05-27,0.0,74183.939334,100.0,,,,,,
2022-04-26,SELL_CALL,C,455.0,2022-05-27,367.893388,74551.832721,100.0,3.685434,0.65,2022-04-25,3.695434,4.084427,
2022-05-27,EXPIRED,C,455.0,2022-05-27,0.0,74551.832721,100.0,,,,,,
2022-05-31,SIGNAL,C,436.0,2022-07-01,0.0,74551.832721,100.0,,,,,,
2022-06-01,SELL_CALL,C,436.0,2022-07-01,532.569838,75084.402559,100.0,5.332198,0.65,2022-05-31,5.342198,5.904535,
2022-06-17,DIVIDEND,,,,157.7,75242.102559,100.0,,,,,,
2022-07-01,EXPIRED,C,436.0,2022-07-01,0.0,75242.102559,100.0,,,,,,
2022-07-05,SIGNAL,C,404.0,2022-08-05,0.0,75242.102559,100.0,,,,,,
2022-07-06,SELL_CALL,C,404.0,2022-08-05,650.267675,75892.370234,100.0,6.509177,0.65,2022-07-05,6.519177,7.205406,
2022-08-05,CALL_ASSIGNED,C,404.0,2022-08-05,40400.0,116292.370234,0.0,,,,,,
2022-08-08,SIGNAL,P,399.0,2022-09-09,0.0,116292.370234,0.0,,,,,,
2022-08-09,SELL_PUT,P,399.0,2022-09-09,630.940673,116923.310908,0.0,6.315907,0.65,2022-08-08,6.325907,6.991792,
2022-09-09,EXPIRED,P,399.0,2022-09-09,0.0,116923.310908,0.0,,,,,,
2022-09-12,SIGNAL,P,396.0,2022-10-14,0.0,116923.310908,0.0,,,,,,
2022-09-13,SELL_PUT,P,396.0,2022-10-14,1360.177754,118283.488662,0.0,13.608278,0.65,2022-09-12,13.618278,15.05178,
2022-10-14,PUT_ASSIGNED,P,396.0,2022-10-14,-39600.0,78683.488662,100.0,,,,,,
2022-10-17,SIGNAL,C,392.0,2022-11-18,0.0,78683.488662,100.0,,,,,,
2022-10-18,SELL_CALL,C,392.0,2022-11-18,796.640826,79480.129488,100.0,7.972908,0.65,2022-10-17,7.982908,8.823214,
2022-11-18,CALL_ASSIGNED,C,392.0,2022-11-18,39200.0,118680.129488,0.0,,,,,,
2022-11-21,SIGNAL,P,380.0,2022-12-23,0.0,118680.129488,0.0,,,,,,
2022-11-22,SELL_PUT,P,380.0,2022-12-23,433.711695,119113.841183,0.0,4.343617,0.65,2022-11-21,4.353617,4.811892,
2022-12-23,EXPIRED,P,380.0,2022-12-23,0.0,119113.841183,0.0,,,,,,
2022-12-27,SIGNAL,P,369.0,2023-01-27,0.0,119113.841183,0.0,,,,,,
2022-12-28,SELL_PUT,P,369.0,2023-01-27,709.911461,119823.752644,0.0,7.105615,0.65,2022-12-27,7.115615,7.864627,
2023-01-27,EXPIRED,P,369.0,2023-01-27,0.0,119823.752644,0.0,,,,,,
2023-01-30,SIGNAL,P,388.0,2023-03-03,0.0,119823.752644,0.0,,,,,,
2023-01-31,SELL_PUT,P,388.0,2023-03-03,383.287142,120207.039785,0.0,3.839371,0.65,2023-01-30,3.849371,4.254568,
2023-03-03,EXPIRED,P,388.0,2023-03-03,0.0,120207.039785,0.0,,,,,,
2023-03-06,SIGNAL,P,392.0,2023-04-06,0.0,120207.039785,0.0,,,,,,
2023-03-07,SELL_PUT,P,392.0,2023-04-06,669.495898,120876.535683,0.0,6.701459,0.65,2023-03-06,6.711459,7.417928,
2023-04-06,EXPIRED,P,392.0,2023-04-06,0.0,120876.535683,0.0,,,,,,
2023-04-10,SIGNAL,P,397.0,2023-05-12,0.0,120876.535683,0.0,,,,,,
2023-04-11,SELL_PUT,P,397.0,2023-05-12,505.0213,121381.556983,0.0,5.056713,0.65,2023-04-10,5.066713,5.600051,
2023-05-12,EXPIRED,P,397.0,2023-05-12,0.0,121381.556983,0.0,,,,,,
2023-05-15,SIGNAL,P,401.0,2023-06-16,0.0,121381.556983,0.0,,,,,,
2023-05-16,SELL_PUT,P,401.0,2023-06-16,527.809544,121909.366527,0.0,5.284595,0.65,2023-05-15,5.294595,5.851921,
2023-06-16,EXPIRED,P,401.0,2023-06-16,0.0,121909.366527,0.0,,,,,,
2023-06-20,SIGNAL,P,427.0,2023-07-21,0.0,121909.366527,0.0,,,,,,
2023-06-21,SELL_PUT,P,427.0,2023-07-21,440.073593,122349.44012,0.0,4.407236,0.65,2023-06-20,4.417236,4.882208,
2023-07-21,EXPIRED,P,427.0,2023-07-21,0.0,122349.44012,0.0,,,,,,
2023-07-24,SIGNAL,P,444.0,2023-08-25,0.0,122349.44012,0.0,,,,,,
2023-07-25,SELL_PUT,P,444.0,2023-08-25,377.310637,122726.750756,0.0,3.779606,0.65,2023-07-24,3.789606,4.188512,
2023-08-25,PUT_ASSIGNED,P,444.0,2023-08-25,-44400.0,78326.750756,100.0,,,,,,
2023-08-28,SIGNAL,C,457.0,2023-09-29,0.0,78326.750756,100.0,,,,,,
2023-08-29,SELL_CALL,C,457.0,2023-09-29,599.570859,78926.321616,100.0,6.002209,0.65,2023-08-28,6.012209,6.645073,
2023-09-15,DIVIDEND,,,,158.3,79084.621616,100.0,,,,,,
2023-09-29,EXPIRED,C,457.0,2023-09-29,0.0,79084.621616,100.0,,,,,,
2023-10-02,SIGNAL,C,443.0,2023-11-03,0.0,79084.621616,100.0,,,,,,
2023-10-03,SELL_CALL,C,443.0,2023-11-03,310.265051,79394.886667,100.0,3.109151,0.65,2023-10-02,3.119151,3.447482,
2023-11-03,EXPIRED,C,443.0,2023-11-03,0.0,79394.886667,100.0,,,,,,
2023-11-06,SIGNAL,C,449.0,2023-12-08,0.0,79394.886667,100.0,,,,,,
2023-11-07,SELL_CALL,C,449.0,2023-12-08,431.69457,79826.581237,100.0,4.323446,0.65,2023-11-06,4.333446,4.789598,
2023-12-08,CALL_ASSIGNED,C,449.0,2023-12-08,44900.0,124726.581237,0.0,,,,,,
