date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-08-08,103120.41867,103167.35847,0.0,285.459991,46.9398,27400.0,75767.35847,SHORT_PUT,107080.276908,101903.300244
2018-08-09,103121.257049,103167.35847,0.0,285.070007,46.101421,27400.0,75767.35847,SHORT_PUT,106935.202812,101864.301831
2018-08-10,103093.728512,103167.35847,0.0,283.160004,73.629959,27400.0,75767.35847,SHORT_PUT,106224.681449,101673.301465
2018-08-13,103054.603538,103167.35847,0.0,282.100006,112.754932,27400.0,75767.35847,SHORT_PUT,105830.362357,101567.301709
2018-08-14,103063.419563,103167.35847,0.0,283.899994,103.938908,27400.0,75767.35847,SHORT_PUT,106499.957816,101747.300488
2018-08-15,103060.921143,103167.35847,0.0,281.779999,106.437327,27400.0,75767.35847,SHORT_PUT,105711.319633,101535.300977
2018-08-16,103084.886758,103167.35847,0.0,284.059998,82.471712,27400.0,75767.35847,SHORT_PUT,106559.479179,101763.300854
2018-08-17,103122.142962,103167.35847,0.0,285.059998,45.215508,27400.0,75767.35847,SHORT_PUT,106931.479179,101863.300854
2018-08-20,103149.190667,103167.35847,0.0,285.670013,18.167803,27400.0,75767.35847,SHORT_PUT,107158.405082,101924.302441
2018-08-21,103156.187261,103167.35847,0.0,286.339996,11.17121,27400.0,75767.35847,SHORT_PUT,107407.638725,101991.300732
2018-08-22,103156.832531,103167.35847,0.0,286.170013,10.52594,27400.0,75767.35847,SHORT_PUT,107344.405082,101974.302441
2018-08-23,103160.43544,103167.35847,0.0,285.790009,6.923031,27400.0,75767.35847,SHORT_PUT,107203.043266,101936.301953
2018-08-24,103164.506636,103167.35847,0.0,287.51001,2.851835,27400.0,75767.35847,SHORT_PUT,107842.88372,102108.302075
2018-08-27,103166.34864,103167.35847,0.0,289.779999,1.009831,27400.0,75767.35847,SHORT_PUT,108687.319633,102335.300977
2018-08-28,103166.357718,103167.35847,0.0,289.920013,1.000752,27400.0,75767.35847,SHORT_PUT,108739.405082,102349.302441
2018-08-29,103166.35847,103167.35847,0.0,291.480011,1.000001,27400.0,75767.35847,SHORT_PUT,109319.724174,102505.302197
