date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2023-01-05,ORDER_SKIPPED,C,454.0,2023-02-10,0.0,82206.855517,100.0,,,2023-01-04,,,illiquid_quote
2023-01-05,NO_CANDIDATE,,,,0.0,82206.855517,100.0,,,,,,no_eligible_contract
2023-01-06,SIGNAL,C,454.0,2023-02-10,0.0,82206.855517,100.0,,,,,,
2023-01-09,ORDER_SKIPPED,C,454.0,2023-02-10,0.0,82206.855517,100.0,,,2023-01-06,,,illiquid_quote
2023-01-09,SIGNAL,C,454.0,2023-02-17,0.0,82206.855517,100.0,,,,,,
2023-01-10,SELL_CALL,C,454.0,2023-02-17,16.473925,82223.329442,100.0,0.171239,0.65,2023-01-09,0.181239,0.201239,
2023-02-17,EXPIRED,C,454.0,2023-02-17,0.0,82223.329442,100.0,,,,,,
2023-02-21,SIGNAL,C,454.0,2023-03-24,0.0,82223.329442,100.0,,,,,,
2023-02-22,SELL_CALL,C,454.0,2023-03-24,22.703986,82246.033428,100.0,0.23354,0.65,2023-02-21,0.24354,0.269176,
2023-03-17,DIVIDEND,,,,150.6,82396.633428,100.0,,,,,,
2023-03-24,EXPIRED,C,454.0,2023-03-24,0.0,82396.633428,100.0,,,,,,
2023-03-27,SIGNAL,C,454.0,2023-04-28,0.0,82396.633428,100.0,,,,,,
2023-03-28,SELL_CALL,C,454.0,2023-04-28,7.371571,82404.004999,100.0,0.080216,0.65,2023-03-27,0.090216,0.110216,
2023-04-28,EXPIRED,C,454.0,2023-04-28,0.0,82404.004999,100.0,,,,,,
2023-05-01,SIGNAL,C,454.0,2023-06-02,0.0,82404.004999,100.0,,,,,,
2023-05-02,SELL_CALL,C,454.0,2023-06-02,10.217362,82414.222361,100.0,0.108674,0.65,2023-05-01,0.118674,0.138674,
2023-06-02,EXPIRED,C,454.0,2023-06-02,0.0,82414.222361,100.0,,,,,,
2023-06-05,SIGNAL,C,454.0,2023-07-07,0.0,82414.222361,100.0,,,,,,
2023-06-06,SELL_CALL,C,454.0,2023-07-07,72.881144,82487.103504,100.0,0.735311,0.65,2023-06-05,0.745311,0.823765,
2023-06-16,DIVIDEND,,,,163.8,82650.903504,100.0,,,,,,
2023-07-07,EXPIRED,C,454.0,2023-07-07,0.0,82650.903504,100.0,,,,,,
2023-07-10,SIGNAL,C,454.0,2023-08-11,0.0,82650.903504,100.0,,,,,,
2023-07-11,SELL_CALL,C,454.0,2023-08-11,335.757203,82986.660707,100.0,3.364072,0.65,2023-07-10,3.374072,3.729238,
2023-08-11,EXPIRED,C,454.0,2023-08-11,0.0,82986.660707,100.0,,,,,,
2023-08-14,SIGNAL,C,460.0,2023-09-15,0.0,82986.660707,100.0,,,,,,
2023-08-15,SELL_CALL,C,460.0,2023-09-15,202.604142,83189.264849,100.0,2.032541,0.65,2023-08-14,2.042541,2.257546,
2023-09-15,DIVIDEND,,,,158.3,83347.564849,100.0,,,,,,
2023-09-15,EXPIRED,C,460.0,2023-09-15,0.0,83347.564849,100.0,,,,,,
2023-09-18,SIGNAL,C,454.0,2023-10-20,0.0,83347.564849,100.0,,,,,,
2023-09-19,SELL_CALL,C,454.0,2023-10-20,297.918973,83645.483822,100.0,2.98569,0.65,2023-09-18,2.99569,3.311025,
2023-10-20,EXPIRED,C,454.0,2023-10-20,0.0,83645.483822,100.0,,,,,,
2023-10-23,SIGNAL,C,454.0,2023-11-24,0.0,83645.483822,100.0,,,,,,
2023-10-24,SELL_CALL,C,454.0,2023-11-24,152.993025,83798.476847,100.0,1.53643,0.65,2023-10-23,1.54643,1.709212,
2023-11-24,CALL_ASSIGNED,C,454.0,2023-11-24,45400.0,129198.476847,0.0,,,,,,
2023-11-27,SIGNAL,P,447.0,2023-12-29,0.0,129198.476847,0.0,,,,,,
2023-11-28,SELL_PUT,P,447.0,2023-12-29,305.532509,129504.009356,0.0,3.061825,0.65,2023-11-27,3.071825,3.395175,
2023-12-29,EXPIRED,P,447.0,2023-12-29,0.0,129504.009356,0.0,,,,,,
2024-01-02,SIGNAL,P,465.0,2024-02-02,0.0,129504.009356,0.0,,,,,,
2024-01-03,SELL_PUT,P,465.0,2024-02-02,478.631088,129982.640444,0.0,4.792811,0.65,2024-01-02,4.802811,5.30837,
2024-02-02,EXPIRED,P,465.0,2024-02-02,0.0,129982.640444,0.0,,,,,,
2024-02-05,SIGNAL,P,483.0,2024-03-08,0.0,129982.640444,0.0,,,,,,
2024-02-06,SELL_PUT,P,483.0,2024-03-08,309.819051,130292.459495,0.0,3.104691,0.65,2024-02-05,3.114691,3.442553,
2024-03-08,EXPIRED,P,483.0,2024-03-08,0.0,130292.459495,0.0,,,,,,
2024-03-11,SIGNAL,P,501.0,2024-04-12,0.0,130292.459495,0.0,,,,,,
2024-03-12,SELL_PUT,P,501.0,2024-04-12,287.989912,130580.449407,0.0,2.886399,0.65,2024-03-11,2.896399,3.201283,
2024-04-12,EXPIRED,P,501.0,2024-04-12,0.0,130580.449407,0.0,,,,,,
2024-04-15,SIGNAL,P,492.0,2024-05-17,0.0,130580.449407,0.0,,,,,,
2024-04-16,SELL_PUT,P,492.0,2024-05-17,573.289932,131153.739339,0.0,5.739399,0.65,2024-04-15,5.749399,6.354599,
2024-05-17,EXPIRED,P,492.0,2024-05-17,0.0,131153.739339,0.0,,,,,,
2024-05-20,SIGNAL,P,521.0,2024-06-21,0.0,131153.739339,0.0,,,,,,
2024-05-21,SELL_PUT,P,521.0,2024-06-21,297.477775,131451.217114,0.0,2.981278,0.65,2024-05-20,2.991278,3.306149,
2024-06-21,EXPIRED,P,521.0,2024-06-21,0.0,131451.217114,0.0,,,,,,
2024-06-24,SIGNAL,P,533.0,2024-07-26,0.0,131451.217114,0.0,,,,,,
2024-06-25,SELL_PUT,P,533.0,2024-07-26,331.467273,131782.684386,0.0,3.321173,0.65,2024-06-24,3.331173,3.681822,
2024-07-26,EXPIRED,P,533.0,2024-07-26,0.0,131782.684386,0.0,,,,,,
2024-07-29,SIGNAL,P,533.0,2024-08-30,0.0,131782.684386,0.0,,,,,,
2024-07-30,SELL_PUT,P,533.0,2024-08-30,586.477005,132369.161392,0.0,5.87127,0.65,2024-07-29,5.88127,6.500351,
2024-08-30,EXPIRED,P,533.0,2024-08-30,0.0,132369.161392,0.0,,,,,,
2024-09-03,SIGNAL,P,541.0,2024-10-04,0.0,132369.161392,0.0,,,,,,
2024-09-04,SELL_PUT,P,541.0,2024-10-04,782.583174,133151.744565,0.0,7.832332,0.65,2024-09-03,7.842332,8.66784,
2024-10-04,EXPIRED,P,541.0,2024-10-04,0.0,133151.744565,0.0,,,,,,
2024-10-07,SIGNAL,P,553.0,2024-11-08,0.0,133151.744565,0.0,,,,,,
2024-10-08,SELL_PUT,P,553.0,2024-11-08,626.166636,133777.911201,0.0,6.268166,0.65,2024-10-07,6.278166,6.939026,
2024-11-08,EXPIRED,P,553.0,2024-11-08,0.0,133777.911201,0.0,,,,,,
2024-11-11,SIGNAL,P,587.0,2024-12-13,0.0,133777.911201,0.0,,,,,,
2024-11-12,SELL_PUT,P,587.0,2024-12-13,546.764221,134324.675423,0.0,5.474142,0.65,2024-11-11,5.484142,6.06142,
2024-12-13,EXPIRED,P,587.0,2024-12-13,0.0,134324.675423,0.0,,,,,,
2024-12-16,SIGNAL,P,595.0,2025-01-17,0.0,134324.675423,0.0,,,,,,
2024-12-17,SELL_PUT,P,595.0,2025-01-17,555.390169,134880.065592,0.0,5.560402,0.65,2024-12-16,5.570402,6.15676,
2025-01-17,EXPIRED,P,595.0,2025-01-17,0.0,134880.065592,0.0,,,,,,
2025-01-21,SIGNAL,P,590.0,2025-02-21,0.0,134880.065592,0.0,,,,,,
2025-01-22,SELL_PUT,P,590.0,2025-02-21,365.549004,135245.614596,0.0,3.66199,0.65,2025-01-21,3.67199,4.058515,
2025-02-21,EXPIRED,P,590.0,2025-02-21,0.0,135245.614596,0.0,,,,,,
2025-02-24,SIGNAL,P,582.0,2025-03-28,0.0,135245.614596,0.0,,,,,,
2025-02-25,SELL_PUT,P,582.0,2025-03-28,704.655174,135950.26977,0.0,7.053052,0.65,2025-02-24,7.063052,7.806531,
2025-03-28,PUT_ASSIGNED,P,582.0,2025-03-28,-58200.0,77750.26977,100.0,,,,,,
2025-03-31,SIGNAL,C,582.0,2025-05-02,0.0,77750.26977,100.0,,,,,,
2025-04-01,SELL_CALL,C,582.0,2025-05-02,647.144975,78397.414745,100.0,6.47795,0.65,2025-03-31,6.48795,7.170892,
2025-05-02,EXPIRED,C,582.0,2025-05-02,0.0,78397.414745,100.0,,,,,,
